phrase;opinion_value;standard_deviation;standard_error;phrase_type;manual_correction
also sehr abwechslungsreich;0.958;0.138;0.056;a;
also sehr empfehlenswert;0.990;0.071;0.009;a;
also sehr handlich;1.000;0.000;0.000;a;
also sehr praktisch;0.993;0.059;0.020;a;
also sehr schön;1.000;0.000;0.000;a;
also sehr zufrieden;0.926;0.178;0.017;a;
also speziell;0.000;0.000;0.000;a;m
also stolz;0.500;0.000;0.000;a;
also super;0.905;0.196;0.019;a;
also top;0.929;0.175;0.021;a;
also total begeistert;1.000;0.000;0.000;a;
also überhaupt kein Problem;0.958;0.138;0.056;n;
also überwiegend;0.000;0.164;0.062;a;
also unbedingt;0.000;0.000;0.000;a;m
also unbedingt Kaufempfehlung;0.958;0.138;0.040;n;
also uneingeschränkt;0.000;0.000;0.000;a;m
also uneingeschränkt Empfehlung;0.938;0.165;0.074;n;
also viel Spaß;0.900;0.200;0.015;n;
also voll Kaufempfehlung;1.000;0.000;0.000;n;
also vollkommen ausreichend;0.400;0.000;0.000;a;m
also vollkommen zufrieden;0.949;0.152;0.046;a;
also wirklich;-0.400;0.000;0.000;a;m
also wirklich empfehlenswert;0.938;0.165;0.037;a;
also wirklich super;0.929;0.175;0.047;a;
alt;0.000;0.000;0.000;a;m
alt empfehlenswert;0.594;0.195;0.069;a;
alt geeignet;0.912;0.190;0.038;a;
alt gleichermaßen;0.000;0.000;0.000;a;m
älter;0.279;0.616;0.074;a;
alternativ;0.101;0.550;0.079;a;
alternd;0.104;0.557;0.176;a;
altmodisch;-0.400;0.000;0.000;a;m
ambitioniert;0.400;0.000;0.000;a;m
ambitioniert Anfänger;0.000;0.000;0.000;n;m
ambitioniert Einsteiger;0.000;0.000;0.000;n;m
ambivalent;0.001;0.427;0.110;a;
amerikanisch;0.029;0.674;0.063;a;
amerikanisch Lebensart;0.000;0.000;0.000;n;m
amerikanisch Seele;0.000;0.000;0.000;n;m
amourösen Abenteuer;1.000;0.000;0.000;n;
amüsant;0.587;0.408;0.026;a;
analog angeschlossen;0.000;0.000;0.000;a;m
analytisch denkend;0.938;0.165;0.074;a;
ander Gänsehaut;0.000;0.000;0.000;n;m
ander Hänger;0.000;0.000;0.000;n;m
ander klein Fehler;0.000;0.000;0.000;n;m
ander Meisterwerk;0.958;0.138;0.056;n;
ander Respekt;0.000;0.000;0.000;n;m
ander Schlag;0.000;0.000;0.000;n;m
ander Tiefe;0.000;0.000;0.000;n;m
ander Träne;0.000;0.000;0.000;n;m
ander Verbrecher;-0.400;0.000;0.000;n;m
ander Zukunft;0.000;0.000;0.000;n;m
Anfänger;0.000;0.000;0.000;n;m
anfänglich;0.000;0.000;0.000;a;m
anfänglich angenommen;0.000;0.000;0.000;a;m
anfänglich Bedenken;0.400;0.000;0.000;n;m
anfänglich Freundschaft;0.000;0.000;0.000;n;m
anfangs Angst;0.400;0.000;0.000;n;m
anfangs äußerst skeptisch;0.938;0.165;0.074;a;
anfangs doch etwas skeptisch;1.000;0.000;0.000;a;
anfangs eher skeptisch;0.973;0.113;0.021;a;
anfangs etwas kompliziert;0.400;0.000;0.000;a;m
anfangs etwas langatmig;0.576;0.180;0.060;a;
anfangs etwas misstrauisch;0.938;0.165;0.074;a;
anfangs etwas skeptisch;0.943;0.159;0.012;a;
anfangs etwas ungewohnt;0.400;0.000;0.000;a;m
anfangs gut;-0.441;0.161;0.039;a;
anfangs irritierend;0.000;0.000;0.000;a;m
anfangs langsam;0.000;0.000;0.000;a;m
anfangs nicht leicht;0.000;0.000;0.000;a;m
anfangs nicht recht;0.000;0.000;0.000;a;m
anfangs noch leicht;0.000;0.000;0.000;a;m
anfangs noch skeptisch;0.400;0.000;0.000;a;m
anfangs problemlos;-0.958;0.138;0.056;a;
anfangs sehr kritisch;0.000;0.000;0.000;a;m
anfangs sehr langweilig;0.062;0.165;0.074;a;
anfangs sehr skeptisch;0.000;0.000;0.000;a;m
anfangs sehr unsympathisch;0.000;0.000;0.000;a;m
anfangs skeptisch;0.400;0.000;0.000;a;m
anfangs skeptisch gegenüber;0.400;0.000;0.000;a;m
angeblich;-0.177;0.852;0.213;a;
angeblich getötet;0.000;0.000;0.000;a;
angeblich sauber;-0.400;0.000;0.000;a;m
angeblich wissenschaftlich;-1.000;0.000;0.000;a;
angeblich zu klein;0.400;0.000;0.000;a;m
angehend;0.000;0.000;0.000;a;m
angekündigt Spannung;-0.986;0.117;0.039;n;
angemessen;0.400;0.000;0.000;a;m
angemessen verpackt;0.993;0.059;0.020;a;
angenehm;0.734;0.318;0.019;a;
angenehm bemerkbar;0.984;0.087;0.031;a;
angenehm breit;1.000;0.000;0.000;a;
angenehm gefordert;0.562;0.165;0.074;a;
angenehm geformt;0.958;0.138;0.056;a;
angenehm gepolstert;0.918;0.185;0.051;a;
angenehm gesprochen;1.000;0.000;0.000;a;
angenehm Großes;0.938;0.165;0.074;n;
angenehm günstig;1.000;0.000;0.000;a;
angenehm hart;0.958;0.138;0.056;a;
angenehm heiß;0.918;0.185;0.051;a;
angenehm komplex;0.938;0.165;0.074;a;
angenehm kräftig;1.000;0.000;0.000;a;
angenehm kühl;0.993;0.059;0.020;a;
angenehm neutral;0.938;0.165;0.052;a;
angenehm Niveau;0.966;0.125;0.035;n;
angenehm positiv;0.562;0.165;0.074;a;
angenehm Qualität;0.958;0.138;0.056;n;
angenehm sanft;0.938;0.165;0.074;a;
angenehm spannend;0.938;0.165;0.052;a;
angenehm tief;0.973;0.113;0.043;a;
angenehm tragbar;0.973;0.113;0.043;a;
angenehm überrascht;0.870;0.220;0.026;a;
angenehm Überraschung;0.778;0.314;0.060;n;
angenehm übersichtlich;0.984;0.087;0.031;a;
angenehm unaufgeregt;1.000;0.000;0.000;a;
angenehm verpackt;0.542;0.138;0.056;a;
angenehm warm;0.905;0.196;0.019;a;
angenehm weit;0.938;0.165;0.074;a;
Angst;-0.4;0.000;0.000;n;m
anhaltend Spannung;0.917;0.186;0.034;n;
annehmbar;0.021;0.356;0.065;a;
anregend;0.400;0.000;0.000;a;m
anrührend;0.829;0.266;0.045;a;
anrührend Humor;1.000;0.000;0.000;n;
ans Herz;0.854;0.269;0.055;n;
anschaulich;0.846;0.269;0.053;a;
anschaulich behandeln;1.000;0.000;0.000;a;
anschaulich dargestellt;1.000;0.000;0.000;a;
anschaulich erklärt;0.908;0.194;0.019;a;
anschaulich klar;1.000;0.000;0.000;a;
anschaulich vermitteln;1.000;0.000;0.000;a;
anscheinend;0.000;0.000;0.000;a;m
anscheinend sehr gut;0.929;0.175;0.047;a;
anscheinend so gut;0.938;0.165;0.074;a;
anschließend installiert;0.000;0.000;0.000;a;m
anschluss integriert;0.000;0.000;0.000;a;m
Ansichtssache;0.000;0.000;0.000;n;m
ansonsten empfehlenswert;0.545;0.143;0.027;a;
ansonsten fein;0.500;0.000;0.000;a;
ansonsten gut;0.400;0.000;0.000;a;m
ansonsten gut Qualität;0.493;0.059;0.020;n;
ansonsten Kaufempfehlung;0.429;0.175;0.047;n;
ansonsten lesenswert;0.458;0.138;0.056;a;
ansonsten sehenswert;0.500;0.000;0.000;a;
ansonsten sehr lesenswert;0.562;0.165;0.074;a;
ansonsten sehr toll;0.562;0.165;0.074;a;
ansonsten super zufrieden;0.938;0.165;0.074;a;
ansonsten voll Kaufempfehlung;0.562;0.165;0.074;n;
ansonsten wirklich top;0.542;0.138;0.056;a;
ansonsten wunderschön;0.562;0.165;0.074;a;
ansonsten zufriedenstellend;0.438;0.165;0.074;a;
ansprechend;0.637;0.384;0.054;a;
ansprechend erzählt;0.438;0.165;0.074;a;
ansprechend verpackt;0.924;0.180;0.060;a;
anspruchslos;-0.551;0.583;0.114;a;
anspruchsvoll;0.400;0.000;0.000;a;m
anständig;0.514;0.439;0.074;a;
anstrengend;-0.316;0.603;0.067;a;
antik;-0.025;0.549;0.152;a;
Apokalypse;0.099;0.507;0.106;n;
arabisch Freund;0.000;0.000;0.000;n;m
Arbeitstier;0.765;0.348;0.084;n;
archäologisch Sensation;1.000;0.000;0.000;n;
arg knapp;-0.400;0.000;0.000;a;m
ärger;0.023;0.911;0.194;a;
ärgerlich;-0.810;0.489;0.040;a;
ärgerlich Fehlkauf;-1.000;0.000;0.000;n;
ärgerlich Zeitverschwendung;-0.958;0.138;0.056;n;
Ärgernis;-0.875;0.444;0.099;n;
arglistig Täuschung;-1.000;0.000;0.000;n;
argwöhnisch beäugt;0.000;0.000;0.000;a;m
arm;-0.363;0.830;0.071;a;
armselig;-0.759;0.542;0.140;a;
Armutszeugnis;-0.886;0.335;0.071;n;
ärztlich Hilfe;0.000;0.000;0.000;n;m
Ästhetik;0.700;0.400;0.126;n;
ästhetisch;0.636;0.568;0.171;a;
astrein;1.000;0.000;0.000;a;
astrein Qualität;1.000;0.000;0.000;n;
atemberaubend;0.946;0.239;0.013;a;
atemberaubend Abenteuer;1.000;0.000;0.000;n;
atemberaubend gut;1.000;0.000;0.000;a;
atemberaubend gut aussehend;0.973;0.113;0.043;a;
atemberaubend Hochspannung;1.000;0.000;0.000;n;
atemberaubend Meisterwerk;1.000;0.000;0.000;n;
atemberaubend schnell;0.973;0.113;0.030;a;
atemberaubend spannend;0.950;0.150;0.034;a;
atemlos Spannung;0.938;0.165;0.034;n;
atemlos verfolgt;0.993;0.059;0.020;a;
atemraubend;0.962;0.133;0.037;a;
atemraubend spannend;1.000;0.000;0.000;a;
atmosphärisch dicht;0.826;0.238;0.050;a;
attraktiv;0.688;0.300;0.075;a;
ätzend;-0.855;0.285;0.069;a;
ätzend Kritik;0.000;0.000;0.000;n;m
audiovisuell Erlebnis;1.000;0.000;0.000;n;
aufeinander abgestimmt;0.400;0.000;0.000;a;m
aufeinander angewiesen;0.000;0.000;0.000;a;m
auffälligsten Neuerung;0.400;0.000;0.000;n;m
aufgewärmt;-0.313;0.600;0.190;a;
aufkeimend Hoffnung;0.400;0.000;0.000;n;m
aufrecht erhält;0.000;0.000;0.000;a;m
aufrecht gestellt;0.000;0.000;0.000;a;m
aufregend;0.400;0.000;0.000;a;m
aufrüttelnd;0.875;0.298;0.086;a;
aufschlussreich;0.958;0.138;0.040;a;
aufwändig inszeniert;0.906;0.195;0.069;a;
aufwändig restauriert;0.938;0.165;0.074;a;
aufwendig;-0.017;0.710;0.214;a;
aufwühlend;0.810;0.288;0.063;a;
Augenschmaus;0.768;0.433;0.082;n;
Augenweide;0.946;0.155;0.029;n;
aus Gefühl;0.938;0.165;0.043;n;
aus gut Qualität;1.000;0.000;0.000;n;
aus Hoffnung;0.938;0.165;0.074;n;
aus Humor;0.940;0.162;0.014;n;
aus klar Kaufempfehlung;1.000;0.000;0.000;n;
aus Phantasie;0.958;0.138;0.040;n;
aus Qualität;0.938;0.165;0.074;n;
aus Schönheit;0.924;0.180;0.060;n;
aus Wahrheit;1.000;0.000;0.000;n;
ausbaufähig;0.156;0.371;0.059;a;
ausdrücklich Empfehlung;0.906;0.195;0.049;n;
ausdrücklich Kaufempfehlung;1.000;0.000;0.000;n;
außerdem leicht;0.000;0.000;0.000;a;m
außerdem noch toll;1.000;0.000;0.000;a;
außerdem schlüssig aufgebaut;0.400;0.000;0.000;a;m
außerdem sehr angenehm;1.000;0.000;0.000;a;
außerdem sehr gut verarbeitet;0.938;0.165;0.074;a;
außerdem sehr praktisch;1.000;0.000;0.000;a;
außerdem sehr stabil;0.906;0.195;0.069;a;
außerdem super;1.000;0.000;0.000;a;
außerdem viel Spaß;1.000;0.000;0.000;n;
außerdem wichtig;1.000;0.000;0.000;a;
außergewöhnlich;0.805;0.323;0.025;a;
außergewöhnlich abwechslungsreich;0.938;0.165;0.074;a;
außergewöhnlich Erlebnis;1.000;0.000;0.000;n;
außergewöhnlich fesselnd;1.000;0.000;0.000;a;
außergewöhnlich gelungen;1.000;0.000;0.000;a;
außergewöhnlich gut;1.000;0.000;0.000;a;
außergewöhnlich Leistung;0.938;0.165;0.043;n;
außergewöhnlich Meisterwerk;1.000;0.000;0.000;n;
außergewöhnlich schnell;1.000;0.000;0.000;a;
außergewöhnlich schwer;-0.400;0.000;0.000;a;m
außerirdisch Freund;0.000;0.000;0.000;n;m
außerirdisch Intelligenz;1.000;0.000;0.000;n;
außerordentlich angenehm;0.958;0.138;0.056;a;
außerordentlich erfolgreich;0.938;0.165;0.074;a;
außerordentlich flüssig;0.938;0.165;0.074;a;
außerordentlich gelungen;0.933;0.197;0.039;a;
außerordentlich günstig;1.000;0.000;0.000;a;
außerordentlich hilfreich;0.949;0.152;0.046;a;
außerordentlich leicht;0.958;0.138;0.056;a;
außerordentlich lesenswert;1.000;0.000;0.000;a;
außerordentlich Lesevergnügen;1.000;0.000;0.000;n;
außerordentlich liebenswert;1.000;0.000;0.000;a;
außerordentlich positiv;0.958;0.138;0.056;a;
außerordentlich praktisch;0.958;0.138;0.056;a;
außerordentlich schön;0.958;0.138;0.040;a;
außerordentlich subtil;1.000;0.000;0.000;a;
außerordentlich talentiert;1.000;0.000;0.000;a;
außerordentlich unterhaltsam;1.000;0.000;0.000;a;
außerordentlich wichtig;0.906;0.195;0.056;a;
außerordentlich zufrieden;0.956;0.142;0.022;a;
äußerst abwechslungsreich;0.912;0.190;0.038;a;
äußerst anregend;0.993;0.059;0.020;a;
äußerst anschaulich;0.906;0.195;0.044;a;
äußerst ansprechend;0.906;0.195;0.028;a;
äußerst aufschlussreich;0.984;0.087;0.031;a;
äußerst bekannt;0.906;0.195;0.069;a;
äußerst bequem;0.993;0.059;0.011;a;
äußerst bewegend;1.000;0.000;0.000;a;
äußerst bildhaft;0.938;0.165;0.074;a;
äußerst clever;0.929;0.175;0.047;a;
äußerst eingängig;0.906;0.195;0.069;a;
äußerst empfehlenswert;1.000;0.000;0.000;a;
äußerst erfrischend;0.915;0.187;0.045;a;
äußerst facettenreich;0.918;0.185;0.051;a;
äußerst fähig;0.973;0.113;0.043;a;
äußerst fein;1.000;0.000;0.000;a;
äußerst feinfühlig;0.958;0.138;0.056;a;
äußerst freundlich;0.958;0.138;0.040;a;
äußerst gekonnt;1.000;0.000;0.000;a;
äußerst gelungen;0.969;0.121;0.030;a;
äußerst geschickt;0.993;0.059;0.014;a;
äußerst geschmackvoll;1.000;0.000;0.000;a;
äußerst handlich;1.000;0.000;0.000;a;
äußerst homogen;1.000;0.000;0.000;a;
äußerst hörenswert;0.938;0.165;0.052;a;
äußerst inspirierend;1.000;0.000;0.000;a;
äußerst intensiv;0.924;0.180;0.042;a;
äußerst intuitiv;0.906;0.195;0.069;a;
äußerst komfortabel;1.000;0.000;0.000;a;
äußerst kompetent;0.993;0.059;0.020;a;
äußerst lecker;0.924;0.180;0.060;a;
äußerst lehrreich;1.000;0.000;0.000;a;
äußerst liebenswert;0.943;0.158;0.035;a;
äußerst liebenswürdig;0.562;0.165;0.074;a;
äußerst liebevoll gestalten;0.973;0.113;0.043;a;
äußerst lobenswert;0.949;0.152;0.046;a;
äußerst lohnenswert;1.000;0.000;0.000;a;
äußerst musikalisch;1.000;0.000;0.000;a;
äußerst mutig;0.924;0.180;0.060;a;
äußerst nett;0.949;0.152;0.046;a;
äußerst phantasievoll;0.958;0.138;0.056;a;
äußerst positiv überrascht;0.933;0.170;0.022;a;
äußerst praktikabel;0.938;0.165;0.074;a;
äußerst praktisch;0.958;0.138;0.040;a;
äußerst preiswert;0.914;0.189;0.041;a;
äußerst pünktlich;1.000;0.000;0.000;a;
äußerst rasant;1.000;0.000;0.000;a;
äußerst real;1.000;0.000;0.000;a;
äußerst realistisch;0.929;0.175;0.027;a;
äußerst scharf;0.500;0.000;0.000;a;
äußerst sensibel;0.909;0.198;0.037;a;
äußerst skeptisch;-0.400;0.000;0.000;a;m
äußerst spannend;0.972;0.115;0.027;a;
äußerst stabil;0.929;0.175;0.016;a;
äußerst stark;0.931;0.173;0.040;a;
äußerst tragisch;-0.400;0.000;0.000;a;m
äußerst umfassend;1.000;0.000;0.000;a;
äußerst unkompliziert;1.000;0.000;0.000;a;
äußerst unterhaltsam;0.875;0.217;0.062;a;
äußerst vergnüglich;0.906;0.195;0.044;a;
äußerst verstörend;-0.400;0.000;0.000;a;m
äußerst verzwickt;-0.400;0.000;0.000;a;m
äußerst vielschichtig;0.928;0.185;0.042;a;
äußerst wertvoll;0.978;0.102;0.017;a;
äußerst witzig;0.906;0.195;0.025;a;
äußerst wohltuend;1.000;0.000;0.000;a;
äußerst zufrieden;1.000;0.000;0.000;a;
äußerst zufriedenstellend;0.943;0.158;0.035;a;
äußerst zwiespältig;-0.400;0.000;0.000;a;m
ausführlich;0.163;0.455;0.075;a;
ausführlich beschäftigt;0.000;0.000;0.000;a;m
ausführlich eingehen;0.000;0.000;0.000;a;m
ausführlich geschehen;0.400;0.000;0.000;a;m
ausführlich gestalten;0.400;0.000;0.000;a;m
ausgefallen;0.400;0.000;0.000;a;m
ausgereift;-0.058;0.609;0.072;a;
ausgewogen;0.400;0.000;0.000;a;m
ausgezeichnet;0.919;0.263;0.014;a;
ausgezeichnet geeignet;0.800;0.000;0.000;a;m
ausgezeichnet geschrieben;0.924;0.180;0.060;a;
ausgezeichnet Qualität;0.958;0.138;0.040;n;
ausnahmslos begeistert;0.938;0.165;0.052;a;
ausnahmslos gut gefallen;0.993;0.059;0.020;a;
ausnahmslos klasse;1.000;0.000;0.000;a;
ausnehmend gut gefallen;0.958;0.138;0.017;a;
ausnehmend hübsch;1.000;0.000;0.000;a;
ausreichend;0.464;0.510;0.041;a;
ausreichend fest;0.400;0.000;0.000;a;m
ausreichend flexibel;0.400;0.000;0.000;a;m
ausreichend groß dimensioniert;0.400;0.000;0.000;a;m
ausreichend hoch Niveau;0.562;0.165;0.074;n;
ausschließlich natürlich;0.938;0.165;0.074;a;
aussichtslos Liebe;0.000;0.000;0.000;n;m
ausufernd Fantasie;1.000;0.000;0.000;n;
authentisch;0.799;0.406;0.050;a;
authentisch gezeichnet;0.958;0.138;0.033;a;
automatisch;0.116;0.766;0.181;a;
automatisch abspeichern;0.000;0.000;0.000;a;m
automatisch einrichten;0.000;0.000;0.000;a;m
automatisch erkannt;0.400;0.000;0.000;a;m
automatisch gefunden;0.400;0.000;0.000;a;m
automatisch geöffnet;0.400;0.000;0.000;a;m
bahnbrechend;0.952;0.147;0.032;a;
bahnbrechend Meisterwerk;0.973;0.113;0.043;n;
bald anstehend;0.000;0.000;0.000;a;m
bald ins Herz;1.000;0.000;0.000;n;
bald sicher;0.000;0.000;0.000;a;m
bald völlig;0.000;0.000;0.000;a;m
bald wieder gesund;1.000;0.000;0.000;a;
banal;-0.691;0.587;0.098;a;
bayerisch;0.000;0.000;0.000;a;m
bayrisch;0.000;0.000;0.000;a;m
beachtlich;0.733;0.309;0.080;a;
beachtlich Qualität;0.576;0.180;0.060;n;
beängstigend;-0.400;0.000;0.000;a;m
beängstigend gut;0.943;0.158;0.035;a;
bedauerlich;-0.667;0.553;0.160;a;
bedenkenlos;0.882;0.273;0.066;a;
bedenkenlos ans Herz;0.958;0.138;0.056;n;
bedenkenlos empfehlenswert;0.906;0.195;0.069;a;
bedenkenlos Kaufempfehlung;1.000;0.000;0.000;n;
bedenklich;-0.649;0.564;0.103;a;
bedeutend;0.682;0.534;0.161;a;
bedeutend laut;0.000;0.000;0.000;a;m
bedeutend teuer;0.000;0.000;0.000;a;m
bedeutend teurer;-0.400;0.000;0.000;a;m
bedingt;-0.093;0.342;0.075;a;
bedingt empfehlenswert;-0.120;0.431;0.061;a;
bedingt geeignet;-0.042;0.380;0.110;a;
bedingt hilfreich;-0.400;0.000;0.000;a;m
bedingt Kaufempfehlung;0.042;0.200;0.036;n;
bedingungslos empfehlenswert;1.000;0.000;0.000;a;
bedrückend;-0.400;0.000;0.000;a;m
beeindruckend;0.890;0.270;0.012;a;
beeindruckend geschildert;0.906;0.195;0.069;a;
beeindruckend klar;0.938;0.165;0.052;a;
beeindruckend Meisterwerk;1.000;0.000;0.000;n;
beeindruckend Qualität;0.906;0.195;0.049;n;
beeindruckend schnell;0.958;0.138;0.056;a;
beeindruckend schön;1.000;0.000;0.000;a;
beeindruckt;1.000;0.000;0.000;a;
befriedigend;-0.035;0.267;0.037;a;
begeisternd;0.909;0.303;0.041;a;
begeistert;0.941;0.206;0.005;a;
begeistert angenommen;0.938;0.165;0.052;a;
begeistert aufgenommen;0.906;0.195;0.034;a;
begeistert einfach;1.000;0.000;0.000;a;
begeistert über;0.993;0.059;0.020;a;
Begeisterung;0.098;0.543;0.036;n;
behutsam modernisiert;0.973;0.113;0.043;a;
beid viel Spaß;1.000;0.000;0.000;n;
beinah unmöglich;0.000;0.000;0.000;a;m
beinahe einzigartig;0.984;0.087;0.031;a;
beinahe fühlbar;0.000;0.000;0.000;a;m
beinahe greifbar;0.000;0.000;0.000;a;m
beinahe körperlich;0.000;0.000;0.000;a;m
beinahe nahtlos;0.906;0.195;0.056;a;
beinahe noch besser;0.958;0.138;0.056;a;
beinahe perfekt;0.639;0.224;0.053;a;
beinahe real;1.000;0.000;0.000;a;
beinahe sakral;0.938;0.165;0.074;a;
beinahe schade;0.000;0.000;0.000;a;m
beinahe so gut;0.938;0.165;0.043;a;
beinahe tödlich;0.000;0.000;0.000;a;m
beinahe traurig;0.000;0.000;0.000;a;m
beinahe unermesslich;0.984;0.087;0.031;a;
beinahe unheimlich;0.000;0.000;0.000;a;m
beinahe unschlagbar;0.973;0.113;0.043;a;
beinahe vergessen;0.000;0.000;0.000;a;m
beinahe verzweifelt;-0.400;0.000;0.000;a;m
beißend Kritik;0.000;0.000;0.000;n;m
beispielsweise gut;0.400;0.000;0.000;a;m
bekannt;0.000;0.000;0.000;a;m
bekannt Bestseller;1.000;0.000;0.000;n;
bekannt Charme;0.938;0.165;0.074;n;
bekannt gut Qualität;1.000;0.000;0.000;n;
bekannt Nachteil;-0.400;0.000;0.000;n;m
bekannt Qualität;0.650;0.229;0.072;n;
bekannt schnell;0.949;0.152;0.046;a;
bekanntesten;0.000;0.000;0.000;a;m
bekanntesten Märchen;1.000;0.000;0.000;n;
bekanntlich gut;0.938;0.165;0.052;a;
beklemmend;-0.400;0.000;0.000;a;m
beklemmend echt;0.938;0.165;0.074;a;
beklemmend gut;1.000;0.000;0.000;a;
belanglos;-0.645;0.422;0.042;a;
beliebig;0.000;0.000;0.000;a;m
beliebt;0.400;0.000;0.000;a;m
bemerkenswert;0.860;0.269;0.033;a;
bemerkenswert Leistung;0.906;0.195;0.049;n;
bemerkenswert realistisch;1.000;0.000;0.000;a;
bemerkenswert Tiefe;0.958;0.138;0.056;n;
bemüht;-0.359;0.391;0.123;a;
bequem;0.831;0.283;0.018;a;
bequem erreichbar;0.949;0.152;0.046;a;
bequem rein;0.949;0.152;0.046;a;
berauschend;0.875;0.392;0.074;a;
berauschend Erlebnis;1.000;0.000;0.000;n;
berauschend gut;0.938;0.165;0.074;a;
berauschend schön;0.958;0.138;0.056;a;
bereichernd;0.844;0.232;0.058;a;
Bereicherung;0.923;0.232;0.028;n;
bereit;0.236;0.469;0.061;a;
bereits begeistert;0.917;0.186;0.034;a;
bereits begonnen;0.000;0.000;0.000;a;m
bereits einsatzbereit;0.938;0.165;0.074;a;
bereits Fan;0.958;0.138;0.056;n;
bereits genial;1.000;0.000;0.000;a;
bereits getestet;0.000;0.000;0.000;a;m
bereits gewohnt;0.000;0.000;0.000;a;m
bereits großartig;1.000;0.000;0.000;a;
bereits ins Herz;0.973;0.113;0.043;n;
bereits interessant;0.973;0.113;0.043;a;
bereits klasse;1.000;0.000;0.000;a;
bereits Kult;0.906;0.195;0.069;n;
bereits Kultstatus;0.958;0.138;0.056;n;
bereits mehrfach gekauft;1.000;0.000;0.000;a;
bereits mehrfach verschenkt;1.000;0.000;0.000;a;
bereits mit Begeisterung;1.000;0.000;0.000;n;
bereits neugierig;0.400;0.000;0.000;a;m
bereits optimal;0.958;0.138;0.056;a;
bereits persönlich;0.400;0.000;0.000;a;m
bereits restlos begeistert;1.000;0.000;0.000;a;
bereits sehnsüchtig;0.400;0.000;0.000;a;m
bereits sehnsüchtig erwartet;0.984;0.087;0.031;a;
bereits sehr spannend;1.000;0.000;0.000;a;
bereits super;0.906;0.195;0.069;a;
bereits ungeduldig;0.400;0.000;0.000;a;m
bereits vergessen;0.000;0.000;0.000;a;m
bereits verlegen;0.000;0.000;0.000;a;m
bereits viel Spaß;0.938;0.165;0.074;n;
bereits vorinstallierte;0.000;0.000;0.000;a;m
bereits weltweit;0.000;0.000;0.000;a;m
bereits zuvor verlegen;0.000;0.000;0.000;a;m
bereits zweit;0.000;0.000;0.000;a;m
beruhigend;0.857;0.350;0.076;a;
beruhigt ungemein;0.938;0.165;0.074;a;
berühmt;0.379;0.732;0.178;a;
berühmtesten;0.818;0.441;0.133;a;
berührend;0.875;0.253;0.021;a;
berührt;0.917;0.186;0.044;a;
bescheiden;-0.531;0.637;0.133;a;
Beschwerde;-0.637;0.660;0.191;n;
beschwingt Leichtigkeit;1.000;0.000;0.000;n;
besinnlich;0.969;0.121;0.030;a;
besonder Abenteuer;0.958;0.138;0.056;n;
besonder Clou;0.910;0.192;0.032;n;
besonder Erlebnis;0.924;0.180;0.021;n;
besonder Freund;0.924;0.180;0.060;n;
besonder Genuss;0.932;0.172;0.026;n;
besonder Hörgenuss;1.000;0.000;0.000;n;
besonder Juwel;0.993;0.059;0.020;n;
besonder Lesegenuss;0.938;0.165;0.052;n;
besonder Lob;0.904;0.197;0.015;n;
besonder Perle;0.973;0.113;0.043;n;
besonder Stärken;0.915;0.187;0.045;n;
besonder Überraschung;0.945;0.156;0.039;n;
